Filename,Modified Count,Created Count,Deleted Count,Renamed Count,Full Path,Extension,File Owner,First Event Time,Last Event Time,File Size,Modified Time,Created Time,Attributes
RecoveryStore.{120B280D-AB7E-11E3-B823-001D92E3AEA7}.dat,1,0,0,0,C:\Users\libraryuser\AppData\Local\Microsoft\Internet Explorer\Recovery\Last Active\RecoveryStore.{120B280D-AB7E-11E3-B823-001D92E3AEA7}.dat,dat,AD\libraryuser,8/31/2016 10:21:10 AM,8/31/2016 10:21:10 AM,"6,656",8/31/2016 10:21:10 AM,3/14/2014 7:39:31 AM,AI
MJTFE0DT.htm,1,0,0,0,C:\Users\libraryuser\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\216OWCT2\MJTFE0DT.htm,htm,AD\libraryuser,8/31/2016 10:21:10 AM,8/31/2016 10:21:10 AM,"20,151",8/31/2016 9:38:04 AM,8/31/2016 9:38:04 AM,AI
~DF2C5F80C4677445F8.TMP,0,0,1,0,C:\Users\libraryuser\AppData\Local\Temp\SublimeText3PortableTemp\~DF2C5F80C4677445F8.TMP,TMP,,8/31/2016 10:21:10 AM,8/31/2016 10:21:10 AM,,,,
imagestore.dat,2,0,0,0,C:\Users\libraryuser\AppData\Local\Microsoft\Internet Explorer\imagestore\1cog3zn\imagestore.dat,dat,AD\libraryuser,8/31/2016 10:21:10 AM,8/31/2016 10:21:10 AM,"38,512",8/31/2016 10:21:10 AM,8/31/2016 8:04:58 AM,AI
JavaDeployReg.log,1,0,0,0,C:\Users\libraryuser\AppData\Local\Temp\SublimeText3PortableTemp\Low\JavaDeployReg.log,log,AD\libraryuser,8/31/2016 10:21:10 AM,8/31/2016 10:21:10 AM,34,8/31/2016 10:21:10 AM,8/31/2016 9:38:04 AM,AI
{664B25D9-6F95-11E6-BF04-001D92E3AEA7}.dat,0,0,1,0,C:\Users\libraryuser\AppData\Local\Microsoft\Internet Explorer\Recovery\Active\{664B25D9-6F95-11E6-BF04-001D92E3AEA7}.dat,dat,,8/31/2016 10:21:10 AM,8/31/2016 10:21:10 AM,,,,
{0261115C-6F94-11E6-BF04-001D92E3AEA7}.dat,0,0,1,0,C:\Users\libraryuser\AppData\Local\Microsoft\Internet Explorer\Recovery\Active\{0261115C-6F94-11E6-BF04-001D92E3AEA7}.dat,dat,,8/31/2016 10:21:10 AM,8/31/2016 10:21:10 AM,,,,
{83ED4516-6F94-11E6-BF04-001D92E3AEA7}.dat,0,0,1,0,C:\Users\libraryuser\AppData\Local\Microsoft\Internet Explorer\Recovery\Active\{83ED4516-6F94-11E6-BF04-001D92E3AEA7}.dat,dat,,8/31/2016 10:21:10 AM,8/31/2016 10:21:10 AM,,,,
{F4532D3B-6F91-11E6-BF04-001D92E3AEA7}.dat,0,0,1,0,C:\Users\libraryuser\AppData\Local\Microsoft\Internet Explorer\Recovery\Active\{F4532D3B-6F91-11E6-BF04-001D92E3AEA7}.dat,dat,,8/31/2016 10:21:10 AM,8/31/2016 10:21:10 AM,,,,
{E7581D1F-6F90-11E6-BF04-001D92E3AEA7}.dat,0,0,1,0,C:\Users\libraryuser\AppData\Local\Microsoft\Internet Explorer\Recovery\Active\{E7581D1F-6F90-11E6-BF04-001D92E3AEA7}.dat,dat,,8/31/2016 10:21:10 AM,8/31/2016 10:21:10 AM,,,,
~DF8148EB06828F550A.TMP,0,0,1,0,C:\Users\libraryuser\AppData\Local\Temp\SublimeText3PortableTemp\~DF8148EB06828F550A.TMP,TMP,,8/31/2016 10:21:10 AM,8/31/2016 10:21:10 AM,,,,
